,isExoplanet,loc_rowid,toi,tid,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad
2986,F,0.3881157047523507,0.46989140737949786,0.18203810234279647,0.8820812121748055,0.7977923260503041,1.0,0.007069408740359566,1.0,1.0,0.007196752465449693,1.0,0.7753366907602957,0.07108292177866322,1.0,1.0,0.0007074412887239282,1.0,0.09291787944525376,0.17165990176942608,1.0,0.0029473222135558692,0.003354217553068802,1.0,0.0740314046293169,0.019579043449074903,0.3814264261062494,0.6067510193072588,0.010071406270457545,1.0,0.061615721428824426,1.0,1.0,0.4119341705052587,0.07966847408828423,1.0,1.0,0.18472769468135625
2980,F,0.3873358339457485,0.4690805507662459,1.0,0.8758782865918772,0.8166949023519374,1.0,0.008997429305912177,1.0,1.0,0.0044979702909060575,1.0,0.33649729897795433,0.01523561397394061,1.0,1.0,0.011552194680639604,1.0,0.1291272353572948,0.042248889349016175,1.0,0.10703909755710057,0.0003801927793744837,1.0,0.30064324164765205,0.005433245116720629,0.26482795335548287,0.8093267203988977,1.0,0.6714270846971624,0.056887919920816314,1.0,1.0,0.3196827955995252,0.02893433733080016,1.0,1.0,0.13400884726452625
2977,F,0.38694589854244743,0.03459654883208267,0.11181634890194747,0.0896915812862081,0.2359496693044184,1.0,0.005141388174806957,1.0,1.0,0.006297158407268481,1.0,0.46807340842503387,0.014575362509820534,1.0,1.0,0.003231720432579763,1.0,0.059657366756939764,0.10222788670294052,1.0,0.003285176851273642,0.00187401652046025,1.0,0.12413236124220653,0.12698240665818464,0.5604151133387455,0.5522434283290372,0.010071406270457545,1.0,0.06425669901819453,1.0,1.0,0.3293492911299256,0.02167838767551668,1.0,1.0,0.2781109809963996
2973,F,0.3864259846713793,0.46826969415299396,0.08598422091494526,0.8269125279859768,0.7387535486436653,1.0,0.0023564695801198553,1.0,1.0,0.0029236806890889384,1.0,0.6122204635007058,0.016568574476975483,1.0,1.0,0.0003778379610230072,1.0,0.12182696198793169,0.06889233308262999,1.0,0.1580061629073852,0.08231391480287517,1.0,0.47682653050542884,0.01909982379093906,0.3790652148970202,0.8327527356226841,0.018464244829172163,1.0,0.11381303703381858,1.0,1.0,0.3462020008985359,0.018786870970086675,1.0,1.0,0.12411147698757433
2972,F,0.38629600620361226,0.46813455138411864,0.9987925041661563,0.8582571516429044,0.7188236210564418,1.0,0.0049271636675233335,1.0,1.0,0.0056224628636325725,1.0,0.32273734241425384,0.019807543923602268,1.0,1.0,0.020853439806248528,1.0,0.16224127536072594,0.055951231840588984,1.0,0.05957091541164098,0.00019996451825132655,1.0,0.2536910971007661,0.002046172176008791,0.213962061882458,0.7024455259403728,0.013428541693943393,1.0,0.05888414798726415,1.0,1.0,0.3026320405566335,0.022796653804688507,1.0,1.0,0.12982998809076132
2969,F,0.3859060708003112,0.4677291230774927,0.09844639208285928,0.8518422751321524,0.7851865615366888,1.0,0.007069408740359566,1.0,1.0,0.005847361378177876,1.0,0.3247608690145697,0.07991534230811857,1.0,1.0,0.02418162950547246,1.0,0.16971675529095379,0.05252564621769579,1.0,0.012627565746905128,0.03349613945307977,1.0,0.13168161839404474,0.18264950046589176,0.6716737732099572,0.7019861923085339,0.010071406270457545,1.0,0.03835103208046785,1.0,1.0,0.2813280274803657,0.007684085830452119,1.0,1.0,0.07950709038271594
2968,F,0.3857760923325442,0.4675939803086174,0.08779696241653058,0.8339072702951561,0.7360848738507559,1.0,0.0025706940874034787,1.0,1.0,0.002698782174543635,1.0,0.7429357893662736,0.06394473142128958,1.0,1.0,0.0018731115940076742,1.0,0.15412337137399415,0.14768080240917364,1.0,0.10972157468079977,0.0016987859517839494,1.0,0.4011628644633416,0.005888555168841649,0.28062087063531205,0.7906758610561038,0.02014281254091509,1.0,0.14390482908187738,1.0,1.0,0.4703103727815305,0.02324396025635724,1.0,1.0,0.1515603302828718
2963,F,0.385126199993709,0.46705340923311606,0.13774913963099958,0.8191000579635315,0.7798849209294397,1.0,0.22643530419878977,1.0,1.0,0.23749283135983992,1.0,0.3250376859017256,0.03224020356873123,1.0,1.0,0.003545245549173322,1.0,0.06038786131137171,0.08678150244662783,1.0,0.011111383024814278,0.00032353436262787597,1.0,0.32045809361797395,0.03054033112140854,0.42701596560752014,0.6917947273521072,0.030214218811372626,1.0,0.059789970886632654,1.0,1.0,0.2894290222712086,0.11064444586634381,1.0,1.0,0.39516890327863685
2954,F,0.38395639378380575,0.4659722670821135,0.13684834360803916,0.8340808736299344,0.7769918201282221,1.0,0.005569837189374204,1.0,1.0,0.0060722598927231775,1.0,0.7426584381824486,0.04774988418815565,1.0,1.0,0.0011093965664079786,1.0,0.18665338950787622,0.0928714324428824,1.0,0.021083200158565622,0.03561127400304237,1.0,0.290373222426017,0.10981862609477946,0.590666065570249,0.760685202677286,0.021821380252658014,1.0,0.1034908060305341,1.0,1.0,0.3507664729343542,0.020975477537180102,1.0,1.0,0.16642845915115795
2953,F,0.3838264153160387,0.46583712431323815,0.13781307747489244,0.8192949621161544,0.7901375138388427,1.0,0.0025706940874034787,1.0,1.0,0.002698782174543635,1.0,0.32501279741376043,0.01256969296787087,1.0,1.0,0.0008280278720291433,1.0,0.019915145751622582,0.03121089123080474,1.0,0.04464234707105417,0.16938478591377357,1.0,0.31065435283888937,0.009630346123031128,0.3182186183514995,0.8082932197272602,0.011749973982200469,1.0,0.03807097154937098,1.0,1.0,0.18493656326941674,0.018786870970086675,1.0,1.0,0.07035747261761678
