,isExoplanet,loc_rowid,toi,tid,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad
7482,PC,0.9724988958329162,0.09297822498622219,0.15282713125763478,0.32047365626946583,0.10458677409308799,1.0,0.008783204798628553,1.0,1.0,0.011694722756355752,1.0,0.16235824045360475,0.013491553502680033,1.0,1.0,0.0007797932387070572,1.0,0.08656962012544255,0.16597986212398189,1.0,0.004884879520284759,0.002667046128497541,1.0,0.011712054892739715,5.396331982505434e-05,0.07470870117298871,0.7035842905693069,0.011749973982200469,1.0,0.00500117991689328,1.0,1.0,0.06252572230883391,0.00952123732837726,1.0,1.0,0.029314574727823253
7479,PC,0.972108960429615,0.09257414810728498,0.19061346389591047,0.2782781995763601,0.15043712560340208,1.0,0.010497000856897538,1.0,1.0,0.006746955436359087,1.0,0.8999595624632459,0.13018165660480735,1.0,1.0,0.02871568503774855,1.0,0.34866105612078246,0.20096768987640126,1.0,0.0017751963399394838,0.0008072363890390514,1.0,0.032512726235086185,0.00011867926328085253,0.10153208199685401,0.4967884617351477,0.010071406270457545,1.0,0.021891745826498492,1.0,1.0,0.28724109352676674,0.006520801501965918,1.0,1.0,0.13669220141458568
5455,PC,0.709032541669147,0.7643675007588265,0.1115574404282546,0.6858989965699124,0.7825909799085222,1.0,0.0036418166238215946,1.0,1.0,0.0044979702909060575,1.0,0.7157173009771389,0.021314910473763195,1.0,1.0,0.01153611646953224,1.0,0.11394266674901954,0.19716148362874214,1.0,0.09106086425506627,0.005869150715327844,1.0,0.22657724259019008,9.73129111503581e-06,0.051220120077124925,0.8141018762798903,0.011749973982200469,1.0,0.04201826537870477,1.0,1.0,0.1714506231635898,0.018786870970086675,1.0,1.0,0.08293819704462813
5780,PC,0.7512755436934316,0.8036940465015455,0.1423140605826724,0.1482179237418398,0.8604022373397194,1.0,0.005569837189374204,1.0,1.0,0.008546143552721512,1.0,0.8010841303576932,0.04275439669547357,1.0,1.0,0.14470389996625807,1.0,0.19271872527320308,0.20465624628894521,1.0,0.005724025506397125,0.0033552575396777165,1.0,0.10196492394330926,0.0052936644631934,0.24954508817100232,0.5520903171184243,0.010071406270457545,1.0,0.03712527562523614,1.0,1.0,0.32319102617250955,0.03191419706043474,1.0,1.0,0.18203656335619647
5451,PC,0.7085126277980788,0.7638269296833252,0.16891505936237805,0.6969332375492917,0.6865166091852825,1.0,0.0017137960582689856,1.0,1.0,0.0035983762327248467,1.0,0.7312418623728343,0.05014173854874158,1.0,1.0,0.004550133743383448,1.0,0.1618908622389965,0.17204052239419199,1.0,0.04685830643411002,0.0007747226464727746,1.0,0.28062271833453806,0.0006486234008715134,0.15874604591279146,0.8193076574407318,0.013428541693943393,1.0,0.12307429295973223,1.0,1.0,0.278395071275532,0.018786870970086675,1.0,1.0,0.16185365026860837
5748,PC,0.7471162327248866,0.06770652720653678,0.08902765181479591,0.3220180796349918,0.30496146416596487,1.0,0.011139674378748408,1.0,1.0,0.011919621270901055,1.0,0.5272583452382422,0.013553841376653625,1.0,1.0,0.0018731115940076742,1.0,0.12251238757469057,0.04512322212106091,1.0,0.02823914894883539,0.008190071786846427,1.0,0.5574636825672774,0.021825139853786035,0.35844551566439387,0.5185398230928545,0.011749973982200469,1.0,0.08230656634175422,1.0,1.0,0.7379544148817878,0.0477659389460537,1.0,1.0,0.27353617211384995
5490,PC,0.7135817880409929,0.7685582780216503,0.021793178972485925,0.7994490240734636,0.6979055397388567,1.0,0.0049271636675233335,1.0,1.0,0.006522056921813784,1.0,0.7499262640152096,0.08798785077509609,1.0,1.0,0.009003798220122724,1.0,0.18922308573389204,0.1594800417769169,1.0,0.0017810278119475254,4.307238850394202e-05,1.0,0.020063122081997162,0.0012701845243432471,0.18907852836981223,0.47647251797693757,0.010071406270457545,1.0,0.012352870575085918,1.0,1.0,0.2693415730226692,0.0181638369838338,1.0,1.0,0.08522560148590291
7480,PC,0.9722389388973821,0.09270793944847153,0.17817483069361062,0.2421419686306465,0.19266265599345125,1.0,0.010711225364181162,1.0,1.0,0.01012043315453863,1.0,0.16106739222257555,0.013778077722958556,1.0,1.0,0.0005145027554355842,1.0,0.14761226923629658,0.063107927261875,1.0,0.0006586456174194155,0.0003773036339726434,1.0,0.025047546193496674,0.013545783043301953,0.31739675218345065,0.4643193156345322,0.010071406270457545,1.0,0.023565734754018398,1.0,1.0,0.3597822482778301,0.031247550695144163,1.0,1.0,0.1373280998492601
5489,PC,0.713451809573226,0.7685569265939616,0.021793178972485925,0.7994490240734636,0.6979055397388567,1.0,0.0049271636675233335,1.0,1.0,0.006522056921813784,1.0,0.7491337552730633,0.05958458024313813,1.0,1.0,0.009470066342236223,1.0,0.20148754499442206,0.20972196424601725,1.0,0.0029473222135558692,4.7397484108190086e-05,1.0,0.029525124277951197,0.0002202723611534796,0.11969524514477066,0.47647251797693757,0.010071406270457545,1.0,0.012352870575085918,1.0,1.0,0.2693415730226692,0.0181638369838338,1.0,1.0,0.08522560148590291
7481,PC,0.9723689173651491,0.09284308221734686,0.17779094951739755,0.3160918059358666,0.16252072618002583,1.0,0.00856898029134493,1.0,1.0,0.006297158407268481,1.0,0.1624720645998913,0.027581070595506553,1.0,1.0,0.0016078211107362012,1.0,0.14586747469992534,0.1133399535947314,1.0,0.0005142497212610202,0.0004163895665852086,1.0,0.05544268284838476,0.0016096758644063593,0.18357826271365849,0.4208357318204451,0.010071406270457545,1.0,0.024096425726503647,1.0,1.0,0.20643862161996596,0.026774486178456857,1.0,1.0,0.28064313771289073
